id,text,title,skills
job-00000,"Net2Source Inc. is an award-winning total workforce solutions company recognized by Staffing Industry Analysts for our accelerated growth of 300% in the last 3 years with over 5500+ employees globally, with over 30+ locations in the US and global operations in 32 countries. We believe in providing staffing solutions to address the current talent gap  Right Talent  Right Time  Right Place  Right Price and acting as a Career Coach to our consultants.  
Role: Basel Business AnalystLocation: Washington, D.C.Work Mode: HybridHire Type: 6+ Month Contract (extendable)
JD: Role Specific Experience: 6+ years of relevant technical and business work experience The Candidates who have worked on Basel related projects in Credit risks or at least are aware of credit risk.  Banking & Financial domain experience, along with knowledge of risk management, familiarity with concepts of finance and accounting  Proficiency in MS Excel  Experience in defining and implementing technology solutions for a major financial institution  Extensive experience as a Business Analyst for a large financial institution  Extensive experience in gathering business requirements and developing functional specifications with special emphasis on use cases, defining test cases, and providing user training and support Extensive experience with various system development lifecycle methodologies and tailoring the artifacts to those methodologies Solution-oriented, detailed-focused, showing strong analytical and organization skills Familiarity with relational databases  RDMS Experience with writing simple SQL statements (mostly SELECT  with aim to analyze datasets)


Regards,Prashant SinghSr. Account Manager - Enterprise BusinessNet2Source Inc.prashant.singh@net2source.comDirect # (201) 285-5087  Board # (201) 340-8700 Ext. 509  Fax: (201) 221-8131Corp. HQs : 317 George St., Suite 220, New Brunswick, NJ 08901LinkedIn: https:www.linkedin.cominprashant-singh-b1b23526Website: www.net2source.com
Why work with us - At Net2Source, we believe everyone has an opportunity to lead. We see the importance of your perspective and your ability to create value. We want you to fit inwith an inclusive culture, focus on work-life fit and well-being, and a supportive, connected environment; but we also want you to stand outwith opportunities to have a strategic impact, innovate, and take necessary steps to make your mark. We help clients with new skilling, talent strategy, leadership development, employee experience, transformational change management and beyond.
Equal Employment Opportunity Statement:Net2Source is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation. Our rich diversity makes us more innovative, more competitive, and more creative, which helps us better serve our clients and our communities. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
Awards and Accolades: America's Most Honored Businesses (Top 10%)Awarded by USPAAC for Fastest Growing Business in the US12th Fastest Growing Staffing Company in USA by Staffing industry Analysts in the US (2020, 2019, 2020)Fastest 50 by NJ Biz (2020, 2019, 2020)INC 5000 Fastest growing for 8 consecutive years in a row (only 1.26% companies make it to this list)Top 100 by Dallas Business Journal (2020 and 2019)Proven Supplier of the Year by Workforce Logiq (2020 and 2019)2019 Spirit of Alliance Award by Agile12018 Best of the Best Platinum Award by Agile12018 TechServe Alliance Excellence Awards Winner2017 Best of the Best Gold Award by Agile1(Act1 Group)",Net2Source Inc. is an award-winning total workforce solutions company recognized…,accounting;c;excel;leadership;sql;training
job-00001,"At Salas OBrien we tell our clients that were engineered for impact. This passion for making a difference applies just as much to our team as it does to our projects. Thats why were committed to living our values every day: inspiring, achieving, and connecting as shared owners of our success with a focus on a sustainable future.
Building for the long-term means that all of our team members can expect to work on amazing projects with a people-first approach to problem solving. It also means that each member of our team has truly limitless potential to build a unique, meaningful, and high-impact careerand theyll receive great total rewards along the way.
About Us
Founded in 1975, Salas OBrien is an employee-owned engineering and professional services firm focused on achieving impact for our clients, our team, and the world. We know that tomorrows requirements are todays opportunities, and we are here to design lasting solutions for pressing challenges.
We work across a variety of industries providing integrated engineering and consulting services. Our specialized experience includes design for data centers, healthcare, science and technology, high-rise buildings, clean energy, education, and other building types as well as structural and building sciences, infrastructure asset management, advanced robotics, and more.
Our technical expertise is paired with an exceptional team of business development, human resources, finance and accounting, information technology, and marketing professionals, all of whom play a key role in bringing our commitments to life every day.
Job Summary
Here at Nelson Engineering, a Salas OBrien Company, you will obtain invaluable hands-on technical experience that you cannot learn in a classroom. Our engineers will help you to apply your textbook knowledge and create solutions for real engineering challenges. You will gain practical experience by working with experienced engineering and technical professionals and participating in challenging engineering projects.
In This Role
In this role you will have the opportunity work with engineer mentors in the design team and take ownership of portions of various projects. You will also work in coordination with other engineering disciplines and learn how a complete design package is developed. Work tasks will vary and require flexibility and desire for diversity in the engineering field. You will acquire time management, communication, and CAD drafting skills, as well as have the chance to apply engineering concepts.
You Will Be a Great Fit If
You are currently enrolled in an Electrical Engineering program at a four-year ABET university or college with preferred targeted graduation date within 1 year (preferred). Will consider interns who are graduating within 2 years, depending on our needs. You are able to work part-time, with a minimum of 12 hours and a maximum of 18 hours per weekYou must have reliable transportationYou have a laptop with Windows operating system you can use You have experience with Microsoft Office programs (including Word, Excel, and Outlook)You are well organized and can effectively manage work and academic responsibilities simultaneouslyVerification of US Citizenship required upon hire
Location: Merritt Island, FL
Equal Opportunity Employment Statement
Salas OBrien provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, colour, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, stateprovincial, or local laws. Salas OBrien will accommodate the disability-related needs of applicants as required by law.",At Salas OBrien we tell our clients that were engineered for impact. This passio…,accounting;communication;excel;human resources;marketing;problem solving;time management
job-00002,"Schweitzer Engineering Laboratories (SEL) Infrastructure Defense Division seeks a talented individual for a cybersecurity focused (Lead) Software Engineer position. The work we perform is some of the most fascinating, challenging, and rewarding that can be found in the power engineering community.
Lead a team, conducting white and black box testing of devices and software for security flaws and vulnerabilities. Identify areas of concern and recommendations for an improved cybersecurity stance. Will require staying up to date and training others about current security vulnerabilities and mitigation processes.
Note: United States Citizenship is required. As a Lead Software Engineer, a typical day might include the following: Lead the specification, design, implementation, and test of firmwaresoftware systems.Understand hardware and software interactions, and collaborate with Hardware Engineers.Lead the development of designs and test documentation.Mentor Engineers, Associate Engineers, and Technicians.
This job might be for you if:B.S. in Electrical Engineering, Computer Science, Cybersecurity, Information Technology, Software Engineering, Information Systems, Computer Engineering, or equivalent.Typically 6+ years experience in one or more of the following areas: Object Oriented andor Embedded Programming (C, C++, C#, Python), Network Communications (IS andor ICS Protocols), Digital Forensics, Reverse Engineering.Experience with industrial control systems, information security, and cyber analysisoperations.See NICCS Work Role ID: PR-VAM-001 and AN-EXP-001.
Location InformationPullman, WA- SELs corporate office is located in Eastern Washington where you'll enjoy an unmatched quality of life. Enjoy the smaller town life: country space, freedom from traffic, easy access to recreational activities in nearby mountains, rivers, and forests, as well as great schools and universities.
Competitive pay. Superior benefits. Inspiring work. People are at the core of our company and we hire employee-owners. We welcome you to learn more about how we support employees.Were 100% employee owned. Retirement benefits include an employer funded stock ownership plan (ESOP) and personal 401K options.We offer top tier medical, prescription, dental, vision, life, and disability insurance.We recognize the importance of a healthy life balance and offer: 10 paid holidays, annual vacation accrual starting at 12 days, 9 paid sick days, and paid family and medical leave that covers 90% of your pay.We foster growth and development of our employees through avenues such as STEM courses, apprenticeships, tuition assistance, and engineering development programs.Ask our team about other benefits including wellness, fertility, adoption, and flexible spending benefits.
Pay Range:$91,000- $112,000 per year. We base our starting pay offer on location and job-related factors such as candidate experience, training, knowledge, and skills.
Communication with Applicants We communicate with all applicants. If you do not receive a response about your application, please check your SPAM filter or reach out to us at careers@selinc.com.
SEL is an Equal Opportunity Employer: VetsDisabled.",Schweitzer Engineering Laboratories (SEL) Infrastructure Defense Division seeks …,c;c#;c++;communication;python;training
job-00003,"Mizick Miller & Company, Inc. is looking for a dynamic individual to join our team!This is a great opportunity for the right candidate to work for a rapidly growing two office accounting firm located in Crawford & Wyandot counties.
Mizick Miller & Company, Inc. offers payroll, accounting, business consulting, agri-business consulting, and tax services to businesses, organizations, and individuals.
This Staff Accountant must possess strong attention to detail with the ability to work in a fast-paced environment. They must have excellent written and oral communication skills, have experience in utilizing Microsoft Office Suite, and have a 2- or 4-year degree, or equivalent experience. To be successful in this role you should be able to work to strict deadlines and enjoy contributing to a fun, professional working environment. 
Mizick Miller & Company, Inc. offers vacation, health insurance, retirement, group bonuses, and other flexible benefits.
Please send your resume to info@mizickmiller.com or mail to P.O. Box 248, Bucyrus, Ohio 44820.
Only qualified candidates will be contacted.","Mizick Miller & Company, Inc. is looking for a dynamic individual to join our te…",accounting;communication
job-00004,"Life at Capgemini
Capgemini supports all aspects of your well-being throughout the changing stages of your life and career. For eligible employees, we offer:
Flexible work Healthcare including dental, vision, mental health, and well-being programs Financial well-being programs such as 401(k) and Employee Share Ownership Plan Paid time off and paid holidays Paid parental leave Family building benefits like adoption assistance, surrogacy, and cryopreservation Social well-being benefits like subsidized back-up childelder care and tutoring Mentoring, coaching and learning programs Employee Resource Groups Disaster Relief 
About Capgemini Engineering
World leader in engineering and R&D services, Capgemini Engineering combines its broad industry knowledge and cutting-edge technologies in digital and software to support the convergence of the physical and digital worlds. Coupled with the capabilities of the rest of the Group, it helps clients to accelerate their journey towards Intelligent Industry. Capgemini Engineering has more than 55,000 engineer and scientist team members in over 30 countries across sectors including Aeronautics, Space, Defence, Naval, Automotive, Rail, Infrastructure & Transportation, Energy, Utilities & Chemicals, Life Sciences, Communications, Semiconductor & Electronics, Industrial & Consumer, Software & Internet.
Capgemini Engineering is an integral part of the Capgemini Group, a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fuelled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of 22 billion.
Get the Future You Want  www.capgemini.com
Capgemini discloses salary range information in compliance with state and local pay transparency obligations. The disclosed range represents the lowest to highest salary we, in good faith, believe we would pay for this role at the time of this posting, although we may ultimately pay more or less than the disclosed range and the range may be modified in the future. The disclosed range takes into account the wide range of factors that are considered in making compensation decisions including, but not limited to, geographic location, relevant education, qualifications, certifications, experience, skills, seniority, performance, sales or revenue-based metrics, and business or organizational needs. At Capgemini, it is not typical for an individual to be hired at or near the top of the range for their role. The base salary range for the tagged location is [$ 65,200 - $138,944 yr].
This role may be eligible for other compensation including variable compensation, bonus, or commission. Full-time regular employees are eligible for paid time off, medicaldentalvision insurance, 401(k), and any other benefits to eligible employees.
Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, or any other form of compensation that is allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Companys sole discretion, consistent with the law
Job description:
We are looking for a strong Software Engineer to help one of our Enterprise Clients design, architect and write the documentation for an entire system. This person will code entire software solutions and identify and fix issues within their area of expertise.
Key responsibilities:
Proactively create and review team contributionsParticipate as a ""code owner"" and partner with collaborators in code-reviews.Automate unit, integration, and end to end testing solutions and incorporate them with the testing lifecycle. Be able to run your code in pre-production and ensure quality.Deploy your solutions across environments and platforms, including production releases. Provide operational support of your code and all code within your domain.Teardown old solutions, products, and resources when no longer needed.Resolve issues within the team and prevent problems from occurring. Be proactive and identify, resolve, mitigate and prevent technical issues, risks, and provide solutions.
Must Haves:
Experience with Microsoft strongly preferred4-6 years of software engineering experienceComputer Science degree or equivalent experience 3+ years of experience with C#, .NET core, .NET3+ years of build experience5+ years of experience in CICD tools (Source Control, Build, Deploy)3+ years (GitHub, Jenkins, Spinnaker)3+ years of experience in DevOps deployments
EEOC
Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identityexpression, age religion, disability, sexual orientation, genetics, veteran status, marital status, or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory, or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements andor changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
Click the following link for more information on your rights as an Applicant http:www.capgemini.comresourcesequal-employment-opportunity-is-the-law",Life at Capgemini,.net;c;c#;devops;github;jenkins;mentoring;r;sales
job-00005,"

ResponsibilitiesLead and provide day-to-day support for assigned Navy Federal development efforts in compliance with NFCU standards, processes, and procedures following the System Development Life-cycle (SDLC) or applicable Agile Methodology.Identifies, analyzes, designs, develops, and maintains cost-effective information technology solutions that align with business initiatives and corporate strategies.Analyzes, defines, and documents requirements for data, workflow, logical processes, hardware, and operating systems environment, interfaces with other systems, internal and external controls, and output.Provides subject matter expertise and mentorship in developing system software code using commonly known best practices while adhering to NFCU standards and policies regarding software development.Responsible for ensuring the security and integrity of all NFCU systems.Participates in enhancing performance and availability of designed system solutions.Supportsleads the preparation, execution, and documentation of development tests and evaluations.Supportsleads the implementation of systemsapplications into test and production environments. Prepares implementation plans and change requests required for system migration.

QualificationsMaster's Degree in Computer Science, Management Information Systems or related field + 2 years work experience in Java Development OR Bachelors degree in Computer Science, Management Information Systems or related field + 4 years work experience in Java Development.Experience in Java Web Development using modern web frameworks (AngularSpring bootSpring Batch) to design and implement enterprise business solutions is required.Experience working in an open culture collaborative development team environment using AgileScrum methodologies.Experience in dealing with the Data Access layer using JPA and Hibernate with performance tuning ability using Caching mechanism.Solid Java Development using the latest features such as Streams, Lambda, Predicates, etc.Experience in Single Page Application web development using Angular 2+, BootstrapMaterial, HTML5, CSS3, NodeJS.Working knowledge of REST services.Development experience in Spring bootSpring MVC framework.Hands-on data access experience using JPA or spring data JPA with hibernate.Knowledge of Microservices.Experience in writing Spring batch jobs.Experience developing unit tests for components and services utilizing JUnit andor JMockitMockito.Experience working in a collaborative development team environment using AgileScrum methodologies.
",ResponsibilitiesLead and provide day-to-day support for assigned Navy Federal de…,agile;angular;java;lambda;microservices;spring
job-00006,"Senior Salesforce Software Engineer, Salesforce declarative and Programmatic Customization(VISA INDEPENDENT ONLY)W2Remote (candidates must work CST hours)12 months Software Engineer with a Salesforce background Strong experience with an understanding of:o Salesforce Declarative and Programmatic Customizationo Salesforce design concepts that provide security and stabilityo Debugging code andor complex log files for troubleshooting and analysis of product defectso Querying databases for complex data lookupupdateo Version and revision control practices and procedures Financial Services Industry experience is preferred Preferred Salesforce Certifications: Salesforce Certified Administrator Salesforce Platform App Builder Salesforce Platform Developer I Salesforce Platform Developer II Salesforce OMNI Studio Developer
 Please share profiles to saran@focuzmindz.com","Senior Salesforce Software Engineer, Salesforce declarative and Programmatic Cus…",salesforce
job-00007,"***W2 ONLY** 
Software Engineer (12-month contract  REMOTE, team based in Mounds View, MN):
Top 3 Skills:1. JavaScript2. Vue.js 3. Gitlab
Target Years of Experience: 0-2 years
Other relevant software development Must Haves:DockerJSONPostgreSQLreact.jsREST APISpring BootSpring FrameworkSQLVue.JSXML
Preferred Software experience:flaskGrailsGroovyPython
Duties:Participate in requirements formulation, design, prototype, develop, and documentation of the software applications and ensure the solutions meets all requirements.Help determine technical direction for multiple projects to streamline workflow efficiencies.Will be responsible for creating brand new solutions with support to meet business process needs.Strong communicator with senior internal and external customers and vendors.Designs, develops, tests, debugs, and implements operating systems components, software tools and utilities. Determines systems software design requirements. Ensures that system improvements are successfully implemented and monitored to increase efficiency. Generates systems software engineering policies, standards, and procedures. 
Required Knowledge and Experience: Requires practical knowledge and demonstrated competence within job area typically obtained through advanced education combined with experience. Requires a University Degree and minimum of 2 years of relevant experience, or advanced degree with 0 years of experience.",***W2 ONLY**,gitlab;vue
job-00008,"Calling all innovators  find your future at Fiserv.
Were Fiserv, a global leader in Fintech and payments, and we move money and information in a way that moves the world. We connect financial institutions, corporations, merchants, and consumers to one another millions of times a day  quickly, reliably, and securely. Any time you swipe your credit card, pay through a mobile app, or withdraw money from the bank, were involved. If you want to make an impact on a global scale, come make a difference at Fiserv.
What does a successful Software Engineering Manager do at Fiserv?Fiserv is looking for a Software Engineering Manager to join our Core Acquiring Front End engineering group within Fiservs Global Business Solutions (Payment Acceptance) business.You will be joining an organization responsible for mission critical platforms that support our payments acquiring business. We process over 350 million payment transactions per day with a peak throughput of over 8,000 transactions per second all while maintaining millisecond fast response time. All this is done for some of the largest merchants in the US.This fast-paced online transaction processing environment requires a passionate critical problem solver who can balance platform stability and resiliency along with modern engineering practices and solutions.
What you will do:Manage cross-functional engineering teamsHands-on engineer  pickup stories, code reviews, and support production End-to end platform owner and engineer: design, build, and support resilient services  solutionsPartner with business owners to define platform roadmaps and scope for initiatives  featuresDrive prioritization of technical investment on in-scope platformsDesign performant, efficient, effective, and reusable technical solutions (partnering with architecture)Provide thought leadership across acquiring enginesPartner effectively with DevOps, Production Support, and peer platform teams
What you will need to have: 15+ years of experience in software engineering roles using C and Java10+ years of experience leading high-performing software engineering teams5+ years of experience in financial services or payments processingAbility to clearly communicate with executive leadership
What would be great to have:Bachelor's degree in computer science, engineering, or equivalent work experienceExperience in AIXExperience building solutions in public cloud (AWS, Azure, GCP)
Perks at work:Were #FiservProud of our commitment to your overall well-being with a growing offering of physical, mental, emotional, and financial benefits from day one.Maintain a healthy work-life balance with paid holidays, generous time off policies, including Unlimited Recharge & Refuel for qualifying associates, and free counseling through our EAP.Plan for your future with competitive salaries, the Fiserv 401(k) Savings Plan, and our Employee Stock Purchase Plan.Recognize and be recognized by colleagues with our Living Proof program where you can exchange points for a variety of rewards.Prioritize your health with a variety of medical, dental, vision, life, and disability insurance options and a range of well-being resources through our Fuel Your Life program.Advance your career with training, development, certification, and internal mobility opportunities.Join Employee Resource Groups that promote our diverse and inclusive culture where associates can share perspectives, exchange ideas, and elevate careers.
What you should know about us:Fiserv is a global fintech leader with 40,000-plus (and growing) associates proudly serving clients in more than 100 countries. As a FORTUNE 500 company, one of Fast Companys Most Innovative Companies, and a top scorer on Bloombergs Gender-Equality Index, we are committed to excellence and purposeful innovation.
Our commitment to Diversity and Inclusion:Fiserv is an Equal Opportunity Employer, and we welcome and encourage diversity in our workforce that reflects our world. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by law.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Warning about fake job posts:Please be aware of fraudulent job postings that are not affiliated with Fiserv. Fraudulent job postings may be used by cyber criminals to target your personally identifiable information andor to steal money or financial information.
Any communications from a Fiserv representative will come from a legitimate business email address. We will not hire through text message, social media, or email alone, and any interviews will be conducted in person or through a secure video call. We wont ask you for sensitive information nor will we ask you to pay anything during the hiring process. We also wont send you a check to cash on Fiservs behalf.
If you see suspicious activity or believe that you have been the victim of a job posting scam, you should report it to your local FBI field office or to the FBIs Internet Crime Complaint Center.",Calling all innovators  find your future at Fiserv.,aws;azure;c;devops;gcp;leadership;training
job-00009,"Who We AreWere reinventing the egg protein business. At OvaInnovations, we deliver a better value on high-quality egg protein for the pet food, livestock, and aquaculture industries. Were good eggs!This role is an incredible opportunity to join our growing company. Our unique pace will provide an active work environment with potential for development and an introduction to a lean environment capable of incredible growth. In the past year we have undergone rapid growth and are looking for another team member to join us in building the business.
About the RoleReporting to our Controller, the Senior Accountant will be responsible for coordinating and participating in the design, testing, implementation, and review of complex manual or automated financial and accounting systems. Every day will bring challenges, as your work will expand across the enterprise and support a diverse range of goals. This is a role within a growth-oriented company with which you can have an immediate impact. If you are a dedicated and ambitious individual, we would love to have you apply!
Key Responsibilities Reviews complex financial accounting work processes, systems, and procedures for efficient workflow and conformity with accounting principles Prepares monthly balance sheet, income statements, and profit and loss statements Maintains a series of financial controls and procedures for the Accounting department Maintains general ledger Provides outside auditors with assistance; gather necessary account information and documents to perform annual audit Reviews the internal controls and security of all automated accounting applications to ensure conformity with auditing standards Gathers and compiles information on processes, organizational structure, computer technology, policies, and procedures Analyzes and reviews proposals for any system related to financial accounting methods, policies, and procedures; recommends improvements Analyzes system design alternatives and identifies potential improvements to existing systems and processes Collaborates with appropriate staff to gather input and feedback concerning system needs Maintains or assists with maintenance of accounting information systems Prepares and delivers comprehensive evaluations, proposals, and recommendations to executive leadership, committees, and other stakeholders Assists Controller in preparation of specifications and technical documentation such as user manuals for new and revised computerized accounting systems Performs other duties as assigned by management
Skills and Attributes Excellent verbal and written communication skills are a must Thorough understanding of generally accepted accounting principles (GAAP) and auditing standards Excellent organizational skills and attention to detail Strong analytical and problem-solving skills Thorough understanding of project management Self-starter with an anticipatory work style Strong sense of teamwork and a highly collaborative skill set Ability to handle multiple concurrent working assignments and deadlines in a fast-paced environment Proficient with accounting software systems; experience with Acumatica a plus Familiarity with or the ability to quickly learn office and organization tools such as Microsoft Office, Slack, G-Suite, Asana, etc.
Qualifications & Experience Levels Bachelors Degree in Accounting, Finance, or related field Certified Public Accountant preferred Five to seven (5-7) years of professional accounting or finance experience; or valid Certified Public Accountant with at lease 3 years of professional accounting or finance experience Experience in a multi-facility production or manufacturing environment is a plus OvaInnovations is strongly committed to providing equal employment opportunity for all employees and applicants for employment. For us, this is the only acceptable way to do business. It is our objective to recruit individuals who are qualified for positions of employment by virtue of job-related standards of education, skills, training, experience, and performance, and to avoid the establishment of any artificial barriers to employment or promotion.","Who We AreWere reinventing the egg protein business. At OvaInnovations, we deliv…",accounting;communication;leadership;project management;teamwork;training
